"기준_년분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","지출_총금액","식료품_지출_총금액","의류_신발_지출_총금액","생활용품_지출_총금액","의료비_지출_총금액","교통_지출_총금액","여가_지출_총금액","문화_지출_총금액","교육_지출_총금액","유흥_지출_총금액"
"20261","A","골목상권","3110864","신림우방아파트","","","","","","","","","",""
"20261","A","골목상권","3110863","난우초등학교","","","","","","","","","",""
"20261","A","골목상권","3110862","난곡초등학교(난곡동벽화마을)","","","","","","","","","",""
"20261","A","골목상권","3110861","관악구신사동주민센터","","","","","","","","","",""
"20261","A","골목상권","3110860","호림박물관(성보고등학교)","","","","","","","","","",""
"20261","A","골목상권","3110859","난향초등학교","","","","","","","","","",""
"20261","A","골목상권","3110858","신대방역 1번","","","","","","","","","",""
"20261","A","골목상권","3110857","미성동주민센터","","","","","","","","","",""
"20261","A","골목상권","3110856","미성초등학교","","","","","","","","","",""
"20261","A","골목상권","3110855","신대방역 2번","","","","","","","","","",""
"20261","A","골목상권","3110854","조원동주민센터","","","","","","","","","",""
"20261","A","골목상권","3110853","KT구로지사","","","","","","","","","",""
"20261","A","골목상권","3110852","이수역 9번","","","","","","","","","",""
"20261","A","골목상권","3110851","경문고등학교(동작동성당)","","","","","","","","","",""
"20261","A","골목상권","3110850","사당역 10번","","","","","","","","","",""
"20261","A","골목상권","3110849","이수역 10번","","","","","","","","","",""
"20261","A","골목상권","3110848","양지어린이공원","","","","","","","","","",""
"20261","A","골목상권","3110847","예술인마을","","","","","","","","","",""
"20261","A","골목상권","3110846","남성역 1번","","","","","","","","","",""
"20261","A","골목상권","3110845","사당종합체육관","","","","","","","","","",""
"20261","A","골목상권","3110844","흑석2치안센터","","","","","","","","","",""
"20261","A","골목상권","3110843","사당5동주민센터","","","","","","","","","",""
"20261","A","골목상권","3110842","흑리단길","","","","","","","","","",""
"20261","A","골목상권","3110841","중대부중","","","","","","","","","",""
"20261","A","골목상권","3110840","중앙대학교","","","","","","","","","",""
"20261","A","골목상권","3110839","숭실대입구역 4번","","","","","","","","","",""
"20261","A","골목상권","3110838","상도1동주민센터앞","","","","","","","","","",""
"20261","A","골목상권","3110837","숭실대입구역 1번","","","","","","","","","",""
"20261","A","골목상권","3110836","상도역 5번","","","","","","","","","",""
"20261","A","골목상권","3110835","상도역 1번","","","","","","","","","",""
"20261","A","골목상권","3110834","동작구자원봉사센터","","","","","","","","","",""
"20261","A","골목상권","3110833","상도역 2번","","","","","","","","","",""
"20261","A","골목상권","3110832","노량진초등학교","","","","","","","","","",""
"20261","A","골목상권","3110831","상도4동주민센터","","","","","","","","","",""
"20261","A","골목상권","3110830","상도초등학교","","","","","","","","","",""
"20261","A","골목상권","3110829","장승배기역 5번","","","","","","","","","",""
"20261","A","골목상권","3110828","노량진역 6번","","","","","","","","","",""
"20261","A","골목상권","3110827","NH농협은행 상도동지점","","","","","","","","","",""
"20261","A","골목상권","3110826","장승배기역 4번","","","","","","","","","",""
"20261","A","골목상권","3110825","신대방삼거리역 1번","","","","","","","","","",""
"20261","A","골목상권","3110824","대방역 3번","","","","","","","","","",""
"20261","A","골목상권","3110823","신대방삼거리역 3번","","","","","","","","","",""
"20261","A","골목상권","3110822","신대방삼거리역 4번(대림초등학교)","","","","","","","","","",""
