"기준_년분기_코드","상권_구분_코드","상권_구분_코드_명","상권배후지_코드","상권배후지_코드_명","총_유동인구_수","남성_유동인구_수","여성_유동인구_수","연령대_10_유동인구_수","연령대_20_유동인구_수","연령대_30_유동인구_수","연령대_40_유동인구_수","연령대_50_유동인구_수","연령대_60_이상_유동인구_수","시간대_00_06_유동인구_수","시간대_06_11_유동인구_수","시간대_11_14_유동인구_수","시간대_14_17_유동인구_수","시간대_17_21_유동인구_수","시간대_21_24_유동인구_수","월요일_유동인구_수","화요일_유동인구_수","수요일_유동인구_수","목요일_유동인구_수","금요일_유동인구_수","토요일_유동인구_수","일요일_유동인구_수"
"20261","A","골목상권","3110988","청담역 3번","918050","426494","491554","128378","114777","165802","194785","136414","177895","131188","202584","157541","159160","178917","88660","132978","137571","138587","139796","139765","120804","108548"
"20261","A","골목상권","3110987","영동대교남단","1383858","651475","732383","150501","189180","251836","298943","230056","263343","276716","299448","210524","208313","237878","150979","192801","202578","203896","206751","211288","191305","175239"
"20261","A","골목상권","3110986","삼성중앙역 7번","2475970","1220958","1255012","255420","380735","547664","583544","376888","331718","531141","525258","373740","366837","406424","272569","370317","382920","383489","387172","380302","292859","278912"
"20261","A","골목상권","3110985","청담근린공원","1242284","589867","652417","129629","155362","249555","272759","198601","236376","265111","266544","184853","180881","207573","137322","178082","185283","184530","185447","185537","168249","155156"
"20261","A","골목상권","3110984","포이초등학교(개포목련어린이공원)","2073133","989584","1083549","348552","230188","367361","386749","340170","400112","611085","457406","238105","222144","291118","253275","299197","297600","302859","301063","290668","287112","294634"
"20261","A","골목상권","3110983","국립국악고등학교","1774855","837409","937446","286800","199753","282896","325094","312981","367329","480211","362039","212038","212249","281549","226768","256072","252666","258972","257651","252208","247930","249355"
"20261","A","골목상권","3110982","강남구보훈회관","2283432","1083442","1199990","478267","248084","382189","518958","338989","316946","642222","495970","269101","266486","331267","278385","326843","330859","332005","332873","330728","317066","313061"
"20261","A","골목상권","3110981","국악고교사거리","2724535","1325807","1398727","408809","326560","492452","515716","457566","523432","738366","574244","333133","320059","420320","338413","395618","392996","401298","400162","389664","370728","374069"
"20261","A","골목상권","3110980","개포지구대옆","1556393","746156","810237","226239","173077","248456","291133","286565","330921","385713","319018","199215","200670","256785","194995","225420","224111","226213","227223","224439","213836","215151"
"20261","A","골목상권","3110979","청담초등학교","1284008","579161","704847","170262","183038","229796","272177","197876","230861","250211","269891","203970","204049","220062","135826","176759","187912","190284","191592","197425","183268","156768"
"20261","A","골목상권","3110978","도곡2동주민센터(대치중학교)","439940","215093","224846","48299","56268","80609","87399","78362","89002","70338","91426","79311","76969","79540","42358","65713","68282","68582","69069","68846","51787","47660"
"20261","A","골목상권","3110977","논현로18길","1350679","665229","685451","175854","164678","238708","256266","242651","272521","322375","274756","180855","178983","227959","165751","197525","195460","199338","199523","196685","181762","180386"
"20261","A","골목상권","3110976","언북초등학교","3291653","1484174","1807479","445877","479250","653553","713060","491136","508779","736449","698828","487404","464385","533548","371040","459265","482086","489284","492376","497130","459085","412427"
"20261","A","골목상권","3110975","매봉역 1번","1228163","560531","667633","137133","165147","209151","227319","211727","277685","211117","261204","205215","199304","226055","125269","179693","184973","187703","187864","187743","155946","144239"
"20261","A","골목상권","3110974","언주중학교","2676535","1303821","1372713","495314","369611","497251","564460","395660","354238","680711","581058","356759","345653","402650","309702","393366","401728","402022","403634","397223","342834","335729"
"20261","A","골목상권","3110973","강남구청역 4번","4985277","2316127","2669150","804205","681545","956320","1108989","735076","699143","1015369","1044053","757447","757514","867727","543166","723281","755288","758552","767359","760115","639503","581177"
"20261","A","골목상권","3110972","강남세브란스병원미래의학연구센터","2662958","1267076","1395883","398359","383133","509678","542396","403126","426266","596242","596568","393770","377740","408305","290334","391948","402187","404749","401710","399197","331374","331791"
"20261","A","골목상권","3110971","선정릉역 4번","4216474","2126432","2090041","242228","767527","1135705","937834","579114","554066","830788","904369","691119","671449","696266","422483","634721","658096","661486","662371","649580","489881","460341"
"20261","A","골목상권","3110970","학동초등학교","2164537","1062610","1101927","213328","382859","540193","459686","286239","282233","425255","455226","342962","341114","372535","227446","323411","334516","335629","337123","332583","259455","241822"
"20261","A","골목상권","3110969","베르사이유1아파트","3498151","1779027","1719124","267743","691625","939815","809924","448706","340338","667116","782865","589004","578751","545863","334549","538048","562498","563605","564906","549991","370778","348324"
"20261","A","골목상권","3110968","강남구청역 2번","2850266","1416726","1433540","302132","470770","692083","644769","387951","352560","518219","578699","468694","472565","519376","292713","423370","442893","445679","450217","442629","339890","305587"
"20261","A","골목상권","3110967","역삼역 8번","3367163","1762273","1604890","134904","665922","990042","784336","450596","341362","599179","714656","591247","566604","572861","322615","498713","524848","529807","531273","526246","379831","376444"
"20261","A","골목상권","3110966","논현2동주민센터","4462192","2169375","2292816","374425","743133","1112944","1021942","625417","584331","689245","895759","796255","802099","850345","428489","654137","701245","708604","716178","707115","527125","447787"
"20261","A","골목상권","3110965","언주역 6번","2990365","1526283","1464080","140356","568363","870527","691134","392600","327384","567509","639515","503158","484045","499343","296794","439431","457536","463285","464487","458445","353702","353477"
"20261","A","골목상권","3110964","싸리고개근린공원","2040226","975860","1064367","453864","228318","310761","405957","298950","342377","479445","424802","278244","283808","337346","236581","296910","297540","302200","301632","299586","273310","269050"
"20261","A","골목상권","3110963","역삼월드메르디앙아파트","2836931","1430465","1406466","352500","451632","631985","585565","412035","403211","642969","605611","414118","404312","456800","313122","419984","424912","430422","429640","424419","353232","354324"
"20261","A","골목상권","3110962","도산공원북측","1422547","648415","774132","106460","323471","341664","297620","178263","175069","171468","237321","273213","287107","315119","138319","189584","205546","209831","216329","230743","210579","159934"
