"기준_년분기_코드","서울시_코드","서울시_코드_명","서비스_업종_코드","서비스_업종_코드_명","당월_매출_금액","당월_매출_건수","주중_매출_금액","주말_매출_금액","월요일_매출_금액","화요일_매출_금액","수요일_매출_금액","목요일_매출_금액","금요일_매출_금액","토요일_매출_금액","일요일_매출_금액","시간대_00~06_매출_금액","시간대_06~11_매출_금액","시간대_11~14_매출_금액","시간대_14~17_매출_금액","시간대_17~21_매출_금액","시간대_21~24_매출_금액","남성_매출_금액","여성_매출_금액","연령대_10_매출_금액","연령대_20_매출_금액","연령대_30_매출_금액","연령대_40_매출_금액","연령대_50_매출_금액","연령대_60_이상_매출_금액","주중_매출_건수","주말_매출_건수","월요일_매출_건수","화요일_매출_건수","수요일_매출_건수","목요일_매출_건수","금요일_매출_건수","토요일_매출_건수","일요일_매출_건수","시간대_건수~06_매출_건수","시간대_건수~11_매출_건수","시간대_건수~14_매출_건수","시간대_건수~17_매출_건수","시간대_건수~21_매출_건수","시간대_건수~24_매출_건수","남성_매출_건수","여성_매출_건수","연령대_10_매출_건수","연령대_20_매출_건수","연령대_30_매출_건수","연령대_40_매출_건수","연령대_50_매출_건수","연령대_60_이상_매출_건수"
"20253","11","서울시","CS300006","미곡판매","124418146207","2745380","102371588765","22046557442","19753770011","22613777196","20110709949","20523121373","19370210236","18570892413","3475665029","13509883673","40936383659","27793338229","28831959626","12370869047","975711973","43802627765","69940438868","8036218","719816368","6704381039","11597143592","20111991256","74601698158","2137455","607925","467111","456480","357704","439607","416553","451799","156126","108393","704252","744684","768276","393936","25839","1077654","1555689","868","31098","147831","258663","527628","1667256"
"20253","11","서울시","CS300004","핸드폰","97518740048","1893815","77032165599","20486574449","18534249096","13817295237","15858533679","13271259175","15550828412","12480293894","8006280555","1448693545","6557747842","22056766589","25583695349","36672926575","5198910148","48407976033","35046649593","629414227","8180432534","13187106276","22005360522","21452681804","17995800099","1517460","376355","319247","304805","317972","303466","271970","244086","132269","33254","202974","467357","471494","603735","115001","962193","862278","25749","334376","340548","340980","372406","410581"
"20253","11","서울시","CS300003","컴퓨터및주변장치판매","661094175237","5641174","594925126820","66169048417","106842276830","106012496209","145687243672","111649861607","124733248502","44555308668","21613739749","1295707991","100761102787","203270465856","261204127813","89540696460","5022074330","251064597043","126304869218","1205346916","35296829476","63780566175","84252730735","122286292860","70554936154","4143218","1497956","806136","860278","810615","760739","905450","823818","674138","37595","805485","1809459","1911181","944639","132815","2665832","2365348","87383","1026751","1310043","1154141","808843","644138"
"20253","11","서울시","CS300002","편의점","1111642588519","160735195","821383913427","290258675093","157505225833","172473400479","157889472697","163693035063","169822779355","154807633322","135451041771","96286011952","179250305550","169347134246","170419520526","311183234646","185156381600","654226233775","429182184828","14891872107","206949111105","304788072877","236012161914","204023320577","116743880014","120561515","40173680","23329281","25683024","23327008","24004322","24217880","21279936","18893744","13028280","31439170","26252536","24470512","41045925","24498772","97471574","61133077","3284171","33595313","45219009","32414553","27990329","16101295"
"20253","11","서울시","CS300001","슈퍼마켓","1164292828723","105219845","846962569610","317330259112","166333482191","178860047015","157111103728","167949078677","176708858000","174992972855","142337286258","35938470024","169755579264","213892416480","250740827337","372742648898","121222886721","581805639119","526109876061","6039757275","90715464078","188345600479","222825184677","271683309908","328306198764","77528568","27691276","15208864","16474247","14784001","15409634","15651825","14825267","12866009","4085986","16883963","18026483","19445091","33816584","12961737","57739776","45976414","1505378","13552116","22397584","20767545","22578564","22914884"
"20253","11","서울시","CS200037","노래방","111370476326","4607776","73699037910","37671438416","10650944985","15101237339","14465483201","15090730399","18390641986","22365001869","15306436547","43965998556","1763405450","1279591722","3155410589","17925867173","43280202836","81638978902","20047206095","1343937532","12054264483","18559994707","20376507936","29950055133","19401483803","2952008","1655768","501325","571911","532777","585243","760752","940118","715650","743303","48252","235997","517789","1477846","1584589","2748101","1810463","292732","1834875","1291476","490467","434762","214296"
"20253","11","서울시","CS200036","고시원","459578997","628","408683906","50895091","125647257","53000000","24284053","131000430","74752166","50895091","0","0","149931310","253399423","0","50895091","5353173","459578997","0","0","0","0","152685273","277256498","29637226","596","32","95","118","128","192","63","32","0","0","223","276","0","32","97","628","0","0","0","0","96","307","225"
"20253","11","서울시","CS200034","여관","61030779692","1174206","40376058276","20654721416","7794427098","8973808486","8384338887","7056896824","8166586981","9436011921","11218709495","16050567583","4437731152","5485475382","9370652725","16313992754","9372360096","31908048004","11535165883","468038316","7964692953","11011863954","8836256775","9158370940","6003990948","765248","408958","143745","156934","149657","151770","163142","209134","199824","224326","66659","137498","187648","326124","231951","794420","312143","16234","332864","319688","172260","158051","107488"
"20253","11","서울시","CS200033","부동산중개업","5687317230","453038","4730676349","956640881","1084499503","1261911584","852520914","744514776","787229572","632845131","323795750","278572011","805490351","1471120081","1361419445","1399248041","371467301","3226392979","1909493226","11092499","386483881","1575546613","974977982","712229791","1475555436","349211","103827","72576","74042","74295","57438","70860","62543","41284","15794","52095","106593","127356","114492","36708","264869","127794","433","30980","106947","98973","86096","69238"
"20253","11","서울시","CS200032","가전제품수리","11345453163","120333","10087120475","1258332688","2101798421","1761783451","2243394704","2099942632","1880201267","1070263451","188069237","53954107","1887547610","3824003376","3385204550","1955584261","239159259","5051329934","3948733975","3267260","295705124","1064729470","1937797417","1870486592","3828078052","104628","15705","23105","21188","20798","20728","18809","13043","2662","427","22558","36367","37938","20470","2573","65134","41788","623","4377","15036","21748","25804","39312"
"20253","11","서울시","CS200031","세탁소","35124185123","2082851","28224275568","6899909554","5837087244","6322951066","5586101464","5562196161","4915939632","5331305486","1568604069","574723844","6208191462","8174865014","8794332370","9910769096","1461303335","14797314521","15046268163","75893542","3419247887","6987369049","7302354831","7116505854","4942169703","1526953","555899","347276","317452","301393","278439","282391","354241","201657","87576","288960","401301","473465","643483","188065","1025262","1006988","13608","382826","520759","393800","441575","279646"
