"기준_년분기_코드","행정동_코드","행정동_코드_명","지출_총금액","식료품_지출_총금액","의류_신발_지출_총금액","생활용품_지출_총금액","의료비_지출_총금액","교통_지출_총금액","교육_지출_총금액","유흥_지출_총금액","여가_문화_지출_총금액","기타_지출_총금액","음식_지출_총금액"
"20242","11410","서대문구","117485628000","18028116000","1438586000","764641000","59138407000","3487244000","4035585000","1836999000","4451243000","3193474000","21111333000"
"20242","11380","은평구","92705118000","23222798000","4530132000","1650060000","19875679000","4528024000","5260194000","2914969000","4804434000","3693901000","22224927000"
"20242","11350","노원구","127519468000","39770070000","1835046000","1322462000","20141840000","4482120000","8814196000","3272287000","13468885000","5298046000","29114516000"
"20242","11320","도봉구","52531543000","15820270000","1049162000","969611000","7223414000","4838645000","2527353000","1445936000","3111638000","1924579000","13620935000"
"20242","11305","강북구","62313292000","15230398000","1903948000","1170753000","11549614000","3446738000","1615357000","2747174000","3891378000","3077577000","17680355000"
"20242","11290","성북구","87219766000","23869876000","1950228000","1127130000","12188833000","5704066000","4368361000","2574687000","7372858000","3466065000","24597662000"
"20242","11260","중랑구","69386912000","20448332000","1469181000","1188714000","11571983000","4953305000","2507087000","2847471000","3890194000","2687014000","17823631000"
"20242","11230","동대문구","93548964000","26546047000","3017121000","1617823000","21298528000","5354893000","3231565000","2179963000","4973868000","2284796000","23044360000"
"20242","11215","광진구","100541241000","22634699000","3375381000","1864827000","15005146000","5961023000","3393363000","4281862000","6687173000","5054612000","32283155000"
"20242","11200","성동구","94895025000","21362454000","4490238000","1259258000","13788783000","6307435000","3065191000","2642940000","6565153000","7920333000","27493240000"
