"기준_년분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","총_유동인구_수","남성_유동인구_수","여성_유동인구_수","연령대_10_유동인구_수","연령대_20_유동인구_수","연령대_30_유동인구_수","연령대_40_유동인구_수","연령대_50_유동인구_수","연령대_60_이상_유동인구_수","시간대_00_06_유동인구_수","시간대_06_11_유동인구_수","시간대_11_14_유동인구_수","시간대_14_17_유동인구_수","시간대_17_21_유동인구_수","시간대_21_24_유동인구_수","월요일_유동인구_수","화요일_유동인구_수","수요일_유동인구_수","목요일_유동인구_수","금요일_유동인구_수","토요일_유동인구_수","일요일_유동인구_수"
"20231","R","전통시장","3130071","성수역 골목형상점가","42977","21453","21524","2868","10786","9887","7694","5600","6142","4740","8799","7939","8343","9243","3913","6518","6779","6774","7000","6887","4833","4186"
"20231","R","전통시장","3130070","뚝섬역상점가","469116","230137","238980","58801","71936","102437","92109","68271","75560","97461","94112","71762","74270","83109","48403","71205","71541","71993","73212","70498","56653","54014"
"20231","R","전통시장","3130069","한양대앞상점가(한양시장, 왕십리맛골목)","627457","299150","328307","85976","279013","78208","59230","53581","71448","137849","114102","75832","77725","128218","93730","89244","91172","90731","92292","96720","88782","78517"
"20231","R","전통시장","3130068","마장축산물시장","1126001","572294","553707","129501","145840","187103","204618","197873","261067","213300","263002","170578","167194","193846","118081","163083","165685","167846","170707","170436","151555","136688"
"20231","R","전통시장","3130067","왕십리도선동상점가","1340221","628307","711914","141938","317117","246770","182932","202417","249046","339823","272040","164399","164649","229588","169722","188904","190929","194437","195185","197521","191968","181277"
"20231","R","전통시장","3130066","행당시장상점가","801310","374262","427048","85453","191526","143904","112021","123395","145012","188862","153052","98057","101372","155823","104143","111242","112722","114303","113777","115951","119421","113893"
"20231","R","전통시장","3130065","무학봉상점가","1246208","555320","690888","155090","266598","213207","170675","188779","251858","365098","253426","131368","131388","198405","166523","173664","173134","175622","173577","175439","187264","187509"
"20231","R","전통시장","3130064","금남시장","454425","201841","252584","82399","46457","68732","71636","68987","116215","109221","85681","54181","57863","85949","61530","63943","62767","62873","62589","62740","69502","70010"
"20231","R","전통시장","3130063","신금호역 골목형상점가","130906","58384","72523","21188","12409","21971","24438","19579","31321","28057","26150","16934","18822","25573","15371","18080","18031","18238","18121","18243","20077","20116"
"20231","R","전통시장","3130062","보광시장","26375","13084","13291","1988","4429","5117","4456","4362","6025","7964","5360","2558","2619","4074","3801","3787","3667","3716","3599","3578","3907","4122"
"20231","R","전통시장","3130061","이태원시장","98333","48271","50061","6431","21303","23878","19652","13998","13072","15950","17534","15665","16832","21312","11038","13530","13665","14110","14242","14848","14873","13066"
"20231","R","전통시장","3130060","신흥시장","421091","189767","231325","49211","66132","84429","67688","52848","100784","112035","86517","48082","47776","71139","55545","58085","58339","58929","58756","59087","63655","64240"
"20231","R","전통시장","3130059","후암시장","121549","58453","63096","13174","14549","21533","20774","20641","30875","20577","21972","16848","18522","27778","15850","16969","16793","17049","17222","17134","18284","18098"
"20231","R","전통시장","3130058","이촌종합시장","119052","51246","67805","26160","11886","17158","22622","16009","25218","21637","26282","17594","16816","22595","14126","17298","17859","17948","17883","18254","15206","14605"
"20231","R","전통시장","3130057","만리시장","19123","9100","10020","2479","2505","3365","3225","3565","3981","4407","3808","2331","2428","3478","2672","2753","2757","2762","2734","2774","2682","2658"
"20231","R","전통시장","3130056","용산용문시장","600708","299961","300747","67590","81779","115339","91007","97944","147049","122410","117885","85256","88102","115403","71651","83981","85956","87543","88428","88567","85679","80557"
"20231","R","전통시장","3130055","황학시장(서울중앙시장, 신중앙시장)","667448","317586","349862","63571","106069","126290","99936","114326","157257","143295","134785","90616","93956","122198","82597","96377","98012","99009","98420","98865","92284","84482"
