"기준_년분기_코드","자치구_코드","자치구_코드_명","서비스_업종_코드","서비스_업종_코드_명","전체_점포_수","일반_점포_수","프랜차이즈_점포_수","개업_율","개업_점포_수","폐업_률","폐업_점포_수"
"20261","11620","관악구","CS300020","서적","138.0","132.0","6.0","0.7","1.0","1.4","2.0"
"20261","11620","관악구","CS300019","의료기기","97.0","97.0","0.0","0.0","0.0","3.1","3.0"
"20261","11620","관악구","CS300018","의약품","302.0","269.0","33.0","1.7","5.0","2.0","6.0"
"20261","11620","관악구","CS300017","시계및귀금속","96.0","90.0","6.0","1.0","1.0","1.0","1.0"
"20261","11620","관악구","CS300016","안경","93.0","63.0","30.0","2.2","2.0","0.0","0.0"
"20261","11620","관악구","CS300015","가방","57.0","56.0","1.0","5.3","3.0","7.0","4.0"
"20261","11620","관악구","CS300014","신발","99.0","97.0","2.0","0.0","0.0","0.0","0.0"
"20261","11620","관악구","CS300013","유아의류","44.0","43.0","1.0","2.3","1.0","0.0","0.0"
"20261","11620","관악구","CS300012","한복점","6.0","6.0","0.0","0.0","0.0","0.0","0.0"
"20261","11620","관악구","CS300011","일반의류","986.0","983.0","3.0","0.8","8.0","2.6","26.0"
"20261","11620","관악구","CS300010","반찬가게","279.0","275.0","4.0","1.8","5.0","2.9","8.0"
"20261","11620","관악구","CS300009","청과상","223.0","223.0","0.0","1.8","4.0","4.0","9.0"
"20261","11620","관악구","CS300008","수산물판매","124.0","116.0","8.0","1.6","2.0","2.4","3.0"
"20261","11620","관악구","CS300007","육류판매","209.0","208.0","1.0","1.4","3.0","2.9","6.0"
"20261","11620","관악구","CS300006","미곡판매","64.0","64.0","0.0","1.6","1.0","1.6","1.0"
"20261","11620","관악구","CS300005","주류도매","20.0","20.0","0.0","0.0","0.0","0.0","0.0"
"20261","11620","관악구","CS300004","핸드폰","275.0","273.0","2.0","0.0","0.0","1.1","3.0"
"20261","11620","관악구","CS300003","컴퓨터및주변장치판매","158.0","158.0","0.0","0.6","1.0","1.9","3.0"
"20261","11620","관악구","CS300002","편의점","347.0","88.0","259.0","0.9","3.0","2.6","9.0"
