"기준_년분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","지출_총금액","식료품_지출_총금액","의류_신발_지출_총금액","생활용품_지출_총금액","의료비_지출_총금액","교통_지출_총금액","여가_지출_총금액","문화_지출_총금액","교육_지출_총금액","유흥_지출_총금액"
"20261","R","전통시장","3130202","신영시장","439978674","126767465","50964496","30146591","63197476","65724736","15242651","13494119","57441028","17000112"
"20261","R","전통시장","3130201","월정로시장","598923491","190957661","66973775","40432217","95400379","80335794","18793698","19134005","64315420","22580542"
"20261","R","전통시장","3130200","신월7동 골목시장(약수시장, 우성상가)","140619978","40379983","16581240","10110426","20591516","21935751","4798086","4254546","16046369","5922061"
"20261","R","전통시장","3130199","신월3동 골목시장","331953578","124346006","34664240","22159222","60964669","33426029","8872643","11709023","24300945","11510801"
"20261","R","전통시장","3130198","아현시장","11610508","3107131","1501212","997974","1490266","1981437","466213","388767","1119816","557692"
"20261","R","전통시장","3130197","마포시장","","","","","","","","","",""
"20261","R","전통시장","3130196","공덕시장","","","","","","","","","",""
"20261","R","전통시장","3130195","도화동 상점가","1388057901","389366277","165612253","106649665","183451011","217032559","45955756","46358200","174138758","59493422"
"20261","R","전통시장","3130194","용강동 상점가","452342005","119016977","54978645","34111882","57926516","73087224","17994303","14199889","62449054","18577515"
"20261","R","전통시장","3130193","신수시장","44108181","12250433","5149956","3192324","6193870","7073732","1451620","1361961","5632689","1801596"
"20261","R","전통시장","3130192","동진시장","24109213","5589573","2901656","2105008","2864998","3963138","1236652","677574","3895036","875578"
"20261","R","전통시장","3130191","홍대 걷고싶은 거리","336961293","82861725","44813708","22739492","41217382","45179335","11491706","12781928","58670246","17205771"
"20261","R","전통시장","3130190","홍대소상공인상점가","235725552","56262783","32147777","17773240","27130934","32730914","8954930","9307647","39137371","12279956"
"20261","R","전통시장","3130189","서교시장","","","","","","","","","",""
"20261","R","전통시장","3130188","합정시장","74255729","15495617","9412285","6407550","8461184","13668862","4120680","1962812","11825299","2901440"
"20261","R","전통시장","3130187","영진시장","130478289","31089275","16764492","10962728","15461415","23159061","6647990","3930624","16990247","5472457"
"20261","R","전통시장","3130186","망원시장","996074298","244693662","121607114","73023121","120519988","169642776","39156811","29572800","156160204","41697822"
