행정동_코드,행정동_코드_명,당월_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_17~21_매출_금액,아침_비중,점심_비중,저녁_비중,컨셉_적합도,분기초_매출,점포_수,자치구_코드,성장률,카페1개당_평균매출_억원
11500560,화곡3동,713892379,107797178,200659952,181309054,15.1,28.1,25.4,68.6,701065626,28,11500,1.8,0.25
11500570,화곡4동,583694047,107470782,131368561,156780286,18.4,22.5,26.9,67.8,279784773,28,11500,108.6,0.21
11500590,화곡본동,212978667,32041005,62023818,48772041,15.0,29.1,22.9,67.0,207661413,27,11500,2.6,0.08
11500591,화곡6동,743911441,102549901,278843010,165536076,13.8,37.5,22.3,73.6,969850811,44,11500,-23.3,0.17
11500593,화곡8동,217758446,19907076,73469012,56515661,9.1,33.7,26.0,68.8,226534385,23,11500,-3.9,0.09
11500603,가양1동,2127384013,326994047,989772868,329931754,15.4,46.5,15.5,77.4,2043675154,213,11500,4.1,0.1
11500604,가양2동,109211531,20523187,33222775,23441144,18.8,30.4,21.5,70.7,129443423,2,11500,-15.6,0.55
11500605,가양3동,254739912,79067302,123717178,10368161,31.0,48.6,4.1,83.7,239394680,5,11500,6.4,0.51
11500611,발산1동,1984076091,453651055,616422630,366817012,22.9,31.1,18.5,72.5,1848740300,89,11500,7.3,0.22
11500615,우장산동,735579878,90786113,200004039,208187444,12.3,27.2,28.3,67.8,708417256,38,11500,3.8,0.19
11500620,공항동,525647660,89857973,210719319,88467905,17.1,40.1,16.8,74.0,384247193,40,11500,36.8,0.13
11500630,방화1동,569534806,107379719,211605610,94335310,18.9,37.2,16.6,72.7,558053808,58,11500,2.1,0.1
11500640,방화2동,304210357,49616086,105001502,63720064,16.3,34.5,20.9,71.7,306957099,51,11500,-0.9,0.06
11500641,방화3동,533712276,97813323,204716108,91100055,18.3,38.4,17.1,73.8,478102018,18,11500,11.6,0.3
11530510,신도림동,504802027,92739337,184350236,84602929,18.4,36.5,16.8,71.7,860820167,51,11530,-41.4,0.1
11530520,구로1동,84319287,18520140,26439676,16536142,22.0,31.4,19.6,73.0,82557464,15,11530,2.1,0.06
11530530,구로2동,966240635,210251460,466179225,97741413,21.8,48.2,10.1,80.1,959356151,39,11530,0.7,0.25
11530540,구로3동,5982315920,1415829174,2554267761,735947386,23.7,42.7,12.3,78.7,5645884103,95,11530,6.0,0.63
11530550,구로4동,562920856,75601273,169996869,138764681,13.4,30.2,24.7,68.3,523982155,29,11530,7.4,0.19
11530560,구로5동,1967441594,280892191,696743764,427735762,14.3,35.4,21.7,71.4,1954536516,60,11530,0.7,0.33
11530595,가리봉동,77973298,7510775,28280907,19456156,9.6,36.3,25.0,70.9,78967400,10,11530,-1.3,0.08
11530720,고척1동,770323720,131945061,247000959,161085832,17.1,32.1,20.9,70.1,659210564,35,11530,16.9,0.22
11530730,고척2동,239767893,39008765,85013188,40406094,16.3,35.5,16.9,68.7,193496471,26,11530,23.9,0.09
11530740,개봉1동,398354679,68619763,138285680,73111164,17.2,34.7,18.4,70.3,389026671,36,11530,2.4,0.11
11530750,개봉2동,561614217,85733087,149727760,143121734,15.3,26.7,25.5,67.5,520639912,19,11530,7.9,0.3
11530760,개봉3동,167460366,33928156,58068213,25253926,20.3,34.7,15.1,70.1,183300369,23,11530,-8.6,0.07
11530770,오류1동,457824262,71990051,126643605,117988920,15.7,27.7,25.8,69.2,355425904,15,11530,28.8,0.31
11530780,오류2동,271245847,45512111,87016810,54900465,16.8,32.1,20.2,69.1,239857784,18,11530,13.1,0.15
11530790,수궁동,286529107,48205577,106067063,46823748,16.8,37.0,16.3,70.1,215862654,11,11530,32.7,0.26
11530800,항동,77942576,5666982,29597745,4938784,7.3,38.0,6.3,51.6,32936029,12,11530,136.6,0.06
11545510,가산동,12231224625,3360013051,5502440717,1011948940,27.5,45.0,8.3,80.8,11049177806,206,11545,10.7,0.59
11545610,독산1동,973475877,171410522,337485449,191737166,17.6,34.7,19.7,72.0,847437691,53,11545,14.9,0.18
11545620,독산2동,128514028,15340198,40071374,24406612,11.9,31.2,19.0,62.1,109439049,17,11545,17.4,0.08
11545630,독산3동,478749300,67898277,131083675,113643318,14.2,27.4,23.7,65.3,377448898,33,11545,26.8,0.15
11545640,독산4동,250893525,27968941,49125919,70978847,11.1,19.6,28.3,59.0,177292336,17,11545,41.5,0.15
11545670,시흥1동,1396957699,248730357,433811883,291992071,17.8,31.1,20.9,69.8,1346646518,49,11545,3.7,0.29
11545680,시흥2동,54682307,10036913,22648151,8168508,18.4,41.4,14.9,74.7,69190402,7,11545,-21.0,0.08
11545690,시흥3동,50367615,5507594,18977066,12232414,10.9,37.7,24.3,72.9,53110872,12,11545,-5.2,0.04
11545700,시흥4동,106497548,20072553,34603856,18897842,18.8,32.5,17.7,69.0,98767587,10,11545,7.8,0.11
11545710,시흥5동,127767458,17415530,42333548,28708645,13.6,33.1,22.5,69.2,138664165,17,11545,-7.9,0.08
11560515,영등포본동,1041528457,165503132,276944066,281428957,15.9,26.6,27.0,69.5,709094326,26,11560,46.9,0.4
11560535,영등포동,4869651358,571899976,1256893672,1329234475,11.7,25.8,27.3,64.8,4547740783,84,11560,7.1,0.58
11560540,여의동,24004630783,5562578642,10939068761,2453257989,23.2,45.6,10.2,79.0,20833173842,270,11560,15.2,0.89
11560550,당산1동,1941663810,410412413,760915476,309514573,21.1,39.2,15.9,76.2,1831549042,104,11560,6.0,0.19
11560560,당산2동,4509870393,528714622,1362469510,1326503234,11.7,30.2,29.4,71.3,4190041722,70,11560,7.6,0.64
11560585,도림동,75661992,10428684,24182362,16598956,13.8,32.0,21.9,67.7,96091214,24,11560,-21.3,0.03
11560605,문래동,4130925913,606697520,1643420207,805411274,14.7,39.8,19.5,74.0,4036224501,122,11560,2.3,0.34
11560610,양평1동,827805712,220996555,387031321,66814310,26.7,46.8,8.1,81.6,813617078,58,11560,1.7,0.14
11560620,양평2동,2484299710,539335833,1104456459,246331311,21.7,44.5,9.9,76.1,2026684770,67,11560,22.6,0.37
11560630,신길1동,435283614,83081842,131469647,102976567,19.1,30.2,23.7,73.0,405581320,21,11560,7.3,0.21
11560650,신길3동,21454593,2454114,4760065,5325910,11.4,22.2,24.8,58.4,21426181,15,11560,0.1,0.01
11560660,신길4동,146205885,30827672,43225968,30462918,21.1,29.6,20.8,71.5,142283347,10,11560,2.8,0.15
11560670,신길5동,96023531,10312409,32535498,20314439,10.7,33.9,21.2,65.8,86944113,11,11560,10.4,0.09
11560680,신길6동,733250422,88199166,283720231,128280614,12.0,38.7,17.5,68.2,753764585,32,11560,-2.7,0.23
11560690,신길7동,280988969,58775857,115269677,34030276,20.9,41.0,12.1,74.0,227073431,12,11560,23.7,0.23
11560700,대림1동,259084179,93781482,90935218,27216178,36.2,35.1,10.5,81.8,313760733,15,11560,-17.4,0.17
11560710,대림2동,255676650,35146741,78635198,53932839,13.7,30.8,21.1,65.6,229366636,19,11560,11.5,0.13
11560720,대림3동,559578680,161177692,164202725,88186602,28.8,29.3,15.8,73.9,541512747,33,11560,3.3,0.17
11590510,노량진1동,1551376252,226096865,391439360,451093322,14.6,25.2,29.1,68.9,1575904611,58,11590,-1.6,0.27
11590520,노량진2동,704171440,160253144,251253778,104043770,22.8,35.7,14.8,73.3,538883479,21,11590,30.7,0.34
11590530,상도1동,2891181565,300264412,810764765,704023952,10.4,28.0,24.4,62.8,2014363960,63,11590,43.5,0.46
11590540,상도2동,802379488,152483592,309990200,97272181,19.0,38.6,12.1,69.7,434786719,34,11590,84.5,0.24
11590550,상도3동,403908252,42398880,126416694,101854374,10.5,31.3,25.2,67.0,329011317,26,11590,22.8,0.16
11590560,상도4동,266091498,44023909,92319941,49787166,16.5,34.7,18.7,69.9,243262013,26,11590,9.4,0.1
11590605,흑석동,2086053117,402618305,722237226,382514328,19.3,34.6,18.3,72.2,1747008784,57,11590,19.4,0.37
11590620,사당1동,1374306366,125837783,360558967,437474664,9.2,26.2,31.8,67.2,2281122758,60,11590,-39.8,0.23
11590630,사당2동,1741329055,202033061,424531348,538541852,11.6,24.4,30.9,66.9,1867811626,28,11590,-6.8,0.62
11590640,사당3동,351243075,28327864,112650494,82056581,8.1,32.1,23.4,63.6,367584971,25,11590,-4.4,0.14
11590650,사당4동,37405057,1361055,11875899,12481584,3.6,31.7,33.4,68.7,47393725,14,11590,-21.1,0.03
11590651,사당5동,253284323,38656037,80370414,55240680,15.3,31.7,21.8,68.8,252612633,16,11590,0.3,0.16
11590660,대방동,987917308,142378822,275140946,258129282,14.4,27.9,26.1,68.4,969481015,44,11590,1.9,0.22
11590670,신대방1동,312809431,62118601,105094466,64028918,19.9,33.6,20.5,74.0,316870897,23,11590,-1.3,0.14
11590680,신대방2동,2791003921,662945774,1129925462,378756585,23.8,40.5,13.6,77.9,2239988490,44,11590,24.6,0.63
11620525,보라매동,954640268,110430316,353028597,163962356,11.6,37.0,17.2,65.8,859359050,34,11620,11.1,0.28
11620545,청림동,47126461,11063782,17553747,4174829,23.5,37.2,8.9,69.6,45866443,9,11620,2.7,0.05
